Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
827047,386,Ozone (O3),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Summer 2022,06/01/2022,30.2,
825843,375,Nitrogen dioxide (NO2),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Summer 2022,06/01/2022,13.6,
823346,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,102,Greenwich Village and Soho (CD2),Summer 2022,06/01/2022,8.3,
825870,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,Summer 2022,06/01/2022,18.5,
827055,386,Ozone (O3),Mean,ppb,UHF34,306308,Chelsea-Village,Summer 2022,06/01/2022,29.3,
823256,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,306,Chelsea - Clinton,Summer 2022,06/01/2022,8.3,
823370,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,306308,Chelsea-Village,Summer 2022,06/01/2022,8.2,
827117,386,Ozone (O3),Mean,ppb,UHF42,309,Union Square - Lower East Side,Summer 2022,06/01/2022,31.2,
825846,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Summer 2022,06/01/2022,16.4,
827048,386,Ozone (O3),Mean,ppb,CD,101,Financial District (CD1),Summer 2022,06/01/2022,30.3,
827046,386,Ozone (O3),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Summer 2022,06/01/2022,31.4,
825727,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,306,Chelsea - Clinton,Summer 2022,06/01/2022,19.5,
823244,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,310,Lower Manhattan,Summer 2022,06/01/2022,7.4,
825715,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,310,Lower Manhattan,Summer 2022,06/01/2022,16.7,
827119,386,Ozone (O3),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Summer 2022,06/01/2022,28.9,
825867,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,Summer 2022,06/01/2022,14.8,
827054,386,Ozone (O3),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,Summer 2022,06/01/2022,30.9,
823247,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,309,Union Square - Lower East Side,Summer 2022,06/01/2022,7.6,
